task,fleet_size,locations,infrastructure,policy,order,seed,policy_seed,day,started_utc,process_seconds,requests,steps,reset_seconds,wall_seconds,agent_seconds,environment_seconds,overhead_seconds,ms_per_decision_epoch,agent_ms_per_epoch,environment_ms_per_epoch,reward
10,1000,10,S10_2_100,nearest,0,100002,200002,31,2026-09-09T15:38:22.186151+00:00,14.294955502999983,20000,20096,0.14927583804819733,14.399394753971137,5.688768952502869,8.69531624764204,0.015309553826227784,0.7165303918178313,0.2830796652320297,0.43268890563505374,317600.201129882
10,1000,10,S10_2_100,random,1,100002,200002,31,2026-09-09T15:38:36.712826+00:00,22.180436086999862,20000,34081,0.12668324902188033,22.341113541042432,6.195362144266255,16.11861690180376,0.02713449497241527,0.6555298712198125,0.18178346129122547,0.4729502333207289,308437.82556104905
10,1000,10,S10_2_100,ppo_sampled,2,100002,200002,31,2026-09-09T15:38:59.181545+00:00,23.959115552000185,20000,34068,0.12702648295089602,24.12509569094982,8.031508216517977,16.066760539775714,0.026826934656128287,0.7081453472745632,0.23574933123511735,0.4716085634547292,308505.2876785317
10,1000,10,S10_2_100,random,0,100003,200003,30,2026-09-09T15:39:23.458971+00:00,22.131665271999964,20000,34096,0.15171415195800364,22.272853496018797,6.186177617171779,16.058707072166726,0.02796880668029189,0.6532394854533904,0.18143411594239145,0.4709850736792212,306541.74955152354
10,1000,10,S10_2_100,ppo_sampled,1,100003,200003,30,2026-09-09T15:39:45.859264+00:00,23.654944161999993,20000,33905,0.12685715593397617,23.80349732399918,7.937760127242655,15.838963795336895,0.026773401419632137,0.7020645133165958,0.23411768551076995,0.4671571684216751,307759.2432303544
10,1000,10,S10_2_100,nearest,2,100003,200003,30,2026-09-09T15:40:09.790363+00:00,14.264690455999926,20000,20096,0.12700900109484792,14.352029610075988,5.681120902532712,8.655624445178546,0.015284262364730239,0.714173447953622,0.28269908949704975,0.4307137960379452,317754.64245281904
10,1000,10,S10_2_100,ppo_sampled,0,100004,200004,18,2026-09-09T15:40:24.294038+00:00,23.62020480199999,20000,33978,0.1510267830453813,23.77073270501569,7.909096421906725,15.83458540448919,0.027050878619775176,0.6995918743014801,0.23277109959110967,0.466024645490882,308178.7335243675
10,1000,10,S10_2_100,nearest,1,100004,200004,18,2026-09-09T15:40:48.190273+00:00,14.309662274000175,20000,20096,0.12494544999208301,14.407484755036421,5.674921023193747,8.717118127620779,0.015445604221895337,0.7169329595460002,0.2823905763930009,0.43377379217858175,317380.35932687647
10,1000,10,S10_2_100,random,2,100004,200004,18,2026-09-09T15:41:02.725179+00:00,22.05594150700017,20000,34023,0.1268287729471922,22.210118689923547,6.160474215168506,16.022573063964956,0.027071410790085793,0.6527971869007303,0.18106793096342197,0.47093357622681586,307675.0760978264
11,1000,20,S20_5_40,ppo_sampled,0,100000,200000,5,2026-09-09T15:42:36.241333+00:00,28.779575541999975,20000,36187,0.12810506799723953,28.97279373393394,9.14948662428651,19.79368637385778,0.02962073578964919,0.8006409410543549,0.25283904784277533,0.5469833468886004,303958.95695448294
11,1000,20,S20_5_40,nearest,1,100000,200000,5,2026-09-09T15:43:05.341180+00:00,15.297049927999979,20000,20096,0.12647213495802134,15.396721472032368,5.889268436119892,9.49177209183108,0.015680944081395864,0.7661585127404642,0.2930567494088322,0.4723214615759893,331692.3770211598
11,1000,20,S20_5_40,random,2,100000,200000,5,2026-09-09T15:43:20.865861+00:00,25.324438612999984,20000,35545,0.12738707102835178,25.48319018294569,6.483694903785363,18.969854280003347,0.029640999156981707,0.7169275617652466,0.18240807156520925,0.5336855895344872,302939.64782415004
11,1000,20,S20_5_40,nearest,0,100001,200001,17,2026-09-09T15:43:46.502371+00:00,14.947180115000037,20000,20096,0.15270484099164605,15.046908218995668,5.776136050350033,9.255281493649818,0.015490674995817244,0.7487514042095774,0.28742715218700404,0.460553418274772,336488.980383876
11,1000,20,S20_5_40,random,1,100001,200001,17,2026-09-09T15:44:01.678803+00:00,25.66242077400011,20000,36174,0.1289464560104534,25.819907982018776,6.538329353905283,19.252826668322086,0.02875195979140699,0.7137697789024928,0.1807466510174513,0.5322283039841347,313216.512485399
11,1000,20,S20_5_40,ppo_sampled,2,100001,200001,17,2026-09-09T15:44:27.626459+00:00,28.90432346700004,20000,36649,0.12717649503611028,29.084814748959616,9.175501824356616,19.88023276568856,0.02908015891443938,0.7936045935485174,0.2503615876110294,0.5424495283824541,315730.4060784374
11,1000,20,S20_5_40,random,0,100002,200002,31,2026-09-09T15:44:56.863861+00:00,25.71098462100008,20000,36016,0.15203222900163382,25.870883488096297,6.550938181811944,19.290384525083937,0.029560781200416386,0.7183164007134689,0.18188966519913216,0.5356059674890031,314023.4116142948
11,1000,20,S20_5_40,ppo_sampled,1,100002,200002,31,2026-09-09T15:45:22.862537+00:00,28.62798314099996,20000,36476,0.1271788199665025,28.804760521044955,9.088205589680001,19.687478943844326,0.029075987520627677,0.7896907698499,0.24915576241035203,0.5397378809037264,316328.9148516282
11,1000,20,S20_5_40,nearest,2,100002,200002,31,2026-09-09T15:45:51.794784+00:00,15.238076686999875,20000,20096,0.12691140791866928,15.337785100913607,5.852642672602087,9.469403094262816,0.015739334048703313,0.7632257713432328,0.291234209424865,0.47120835461100796,334998.88668589917
11,1000,20,S20_5_40,ppo_sampled,0,100003,200003,30,2026-09-09T15:46:07.282814+00:00,28.76404470800003,20000,36505,0.14963418105617166,28.943878635996953,9.150818550493568,19.763272336218506,0.029787749284878373,0.7928743634021902,0.25067301877807335,0.5413853536835641,314468.01067154366
11,1000,20,S20_5_40,nearest,1,100003,200003,30,2026-09-09T15:46:36.354258+00:00,15.176104621999912,20000,20096,0.1269712900975719,15.271190403960645,5.839817554806359,9.41561572405044,0.015757125103846192,0.7599119428722455,0.29059601685939285,0.46853183340219146,335361.1319591001
11,1000,20,S20_5_40,random,2,100003,200003,30,2026-09-09T15:46:51.751870+00:00,25.580602387,20000,35906,0.1258414920885116,25.737258455948904,6.516281277872622,19.192407470196486,0.028569707879796624,0.7167954786372446,0.1814816821108623,0.534518115919247,312324.1433633545
11,1000,20,S20_5_40,nearest,0,100004,200004,18,2026-09-09T15:47:17.640082+00:00,15.145451945000104,20000,20096,0.15033238101750612,15.240729165961966,5.818760197958909,9.406534633249976,0.015434334753081203,0.7583961567457188,0.28954817864047117,0.4680799479125187,338228.9175067575
11,1000,20,S20_5_40,random,1,100004,200004,18,2026-09-09T15:47:33.013802+00:00,25.749591882999994,20000,36276,0.1323709589196369,25.90734886203427,6.528626864310354,19.350045569241047,0.028676428482867777,0.7141732512414343,0.1799709688033508,0.5334117755331638,314519.36027457076
11,1000,20,S20_5_40,ppo_sampled,2,100004,200004,18,2026-09-09T15:47:59.047579+00:00,28.536986797000054,20000,36469,0.12585131998639554,28.70760103489738,9.10469066852238,19.573518452933058,0.029391913441941142,0.7871781796840435,0.2496556162363207,0.5367166210461778,316420.4306846027
12,1000,40,S40_10_20,nearest,0,100000,200000,5,2026-09-09T15:49:43.482827+00:00,15.399593777999598,20000,20096,0.12518721295055002,15.491415817989036,5.950002958765253,9.525809620623477,0.015603238600306213,0.7708706119620341,0.29607896888760216,0.47401520803261726,337788.7949699954
