task,fleet_size,locations,policy,episodes,wall_seconds_median,wall_seconds_q1,wall_seconds_q3,agent_seconds_median,agent_seconds_q1,agent_seconds_q3,environment_seconds_median,environment_seconds_q1,environment_seconds_q3,overhead_seconds_median,overhead_seconds_q1,overhead_seconds_q3,steps_median,steps_q1,steps_q3,ms_per_decision_epoch_median,ms_per_decision_epoch_q1,ms_per_decision_epoch_q3,agent_ms_per_epoch_median,agent_ms_per_epoch_q1,agent_ms_per_epoch_q3,environment_ms_per_epoch_median,environment_ms_per_epoch_q1,environment_ms_per_epoch_q3
4,100,40,ppo_sampled,5,2.830151863046922,2.82190762704704,2.842767267022282,1.0027176523581147,1.002315443009138,1.0046450211666524,1.82259255531244,1.816701882169582,1.8364197588525712,0.0029142865678295,0.0028906913939863,0.0029158780816942,3740.0,3736.0,3746.0,0.7545207558949304,0.7538486876839537,0.7575352952481054,0.2679987815532454,0.2676768959845474,0.2684174318209853,0.4864688102920718,0.4857491663555032,0.4878459730493683
4,100,40,random,5,2.401234458899125,2.3927374200429767,2.403884539962746,0.6057253079488873,0.6045824837638065,0.6060935810673982,1.7914708690950647,1.785379535169341,1.7948854162823409,0.0029116820078343,0.0029055426130071,0.0029123243875801,3684.0,3683.0,3689.0,0.6494944136924475,0.6493731042657966,0.6521549318031302,0.1641548964875934,0.1640733449690015,0.1641976980072885,0.4846307098722423,0.4844274599129901,0.4865483077390181
5,500,5,nearest,5,6.1142598380101845,6.112315541016869,6.121760393958539,2.32514354318846,2.3240967139136046,2.333483362221159,3.780781285720877,3.776676440960728,3.7808459327789024,0.0074094111332669,0.0073914572130888,0.0074310989584773,10096.0,10096.0,10096.0,0.6056121075683621,0.6054195266458864,0.6063550310973196,0.2303034412825337,0.2301997537553095,0.2311294930884666,0.374483090899453,0.3740765096038755,0.3744894941342019
5,500,5,ppo_sampled,5,9.888143665972166,9.87291776202619,9.888174123945646,3.1167327080620453,3.107365060597658,3.120131614618004,6.75832029839512,6.75254423788283,6.7680188089143485,0.0131381488172337,0.0130906595150008,0.0131601459579542,17127.0,17100.0,17133.0,0.5782540155539279,0.5762515474246303,0.5792054708923317,0.1822650706469032,0.1813672480358173,0.1827838176407571,0.3952234092628724,0.3943147756300599,0.3956532673137012
5,500,5,random,5,9.500574473990127,9.48308066802565,9.51913069805596,2.737752554821782,2.727948999265209,2.7464952368754894,6.749628729885444,6.741907614981756,6.759515048586763,0.0131204125937074,0.0130143767455592,0.0131931892829015,17121.0,17085.0,17128.0,0.555991513232636,0.555053009542034,0.557428259050005,0.1604167535117977,0.1596692419821603,0.1608054902626828,0.3948084252430794,0.3946097521206763,0.3957195136672135
6,500,10,nearest,5,6.428103643003851,6.419184423983097,6.43534541700501,2.4406449840171263,2.431670974590816,2.453489608131349,3.988875639392063,3.971015356946737,3.996074503520504,0.0076028774492442,0.0075570290209725,0.0076438296819105,10096.0,10096.0,10096.0,0.6366980628965779,0.6358146220268519,0.6374153542992284,0.2417437583218231,0.2408548905101838,0.2430160071445472,0.3950946552488176,0.3933256098402076,0.3958076964659769
6,500,10,ppo_sampled,5,10.824112460017204,10.793450527009554,10.842265895102171,3.3876707423478365,3.381087352754548,3.3888933992711827,7.425921214628033,7.422954741050489,7.439881517319009,0.0134909785119816,0.0134869766188785,0.0135057799052447,17397.0,17357.0,17399.0,0.623226182393641,0.6221111822528423,0.6237448466212115,0.1947975742525253,0.1947049107619884,0.195098830354808,0.4278343731421348,0.4276531308454911,0.4278636083988305
6,500,10,random,5,10.231594687094912,10.226377829094416,10.247020800947212,2.868581346469,2.863130518933758,2.8760911020217463,7.349672658368945,7.349419990670867,7.357090679812245,0.0135933499550446,0.0135746517917141,0.0136371594853699,17341.0,17307.0,17348.0,0.5911824514413192,0.5894845416817165,0.5912209482964191,0.1657468854491824,0.1650933414856636,0.1659908473957195,0.4241903842369038,0.4236610939802251,0.4246501410221799
7,500,20,nearest,5,6.812378351925872,6.802498369012028,6.826313065015711,2.503769239410758,2.4961573616601527,2.5097968401387334,4.310991203645244,4.293177342158742,4.322617746074684,0.0075410977005958,0.0075379572808742,0.0075941388495266,10096.0,10096.0,10096.0,0.6747601378690444,0.6737815341731407,0.6761403590546465,0.2479961607974205,0.2472422109409818,0.2485931893956748,0.4269999211217555,0.4252354736686551,0.4281515200153213
7,500,20,ppo_sampled,5,12.70530684303958,12.66628610889893,12.720950386021286,3.867752991965972,3.866327287396416,3.873032527626492,8.818170418497175,8.784541900386102,8.826432463247329,0.0141356608364731,0.0141038969159126,0.0142308188369497,18294.0,18262.0,18321.0,0.6934832619965929,0.6934287482159327,0.6935870172433978,0.2113985332474478,0.2107564615642636,0.2117924100298966,0.4818965538178207,0.4813149074011885,0.4821076526515631
7,500,20,random,5,11.679862031014636,11.591007510083728,11.72418712300714,3.013860600651242,2.991683087660931,3.0196840558201075,8.651699718204327,8.584763388265856,8.690484564518556,0.01411886990536,0.0140185026684775,0.0143017121590673,18129.0,18117.0,18168.0,0.6417108153077782,0.6397862510395611,0.6428810012667677,0.1653773559450321,0.1651312627731374,0.1658884082260701,0.4755617255608679,0.4738512661183339,0.4762054006056983
8,500,40,nearest,5,7.102222419925965,7.074163889046758,7.132735174964182,2.566709969076328,2.555617919308133,2.5743106533773243,4.520100004621781,4.510810673935339,4.547097109956667,0.0077528766123577,0.0077352958032861,0.0077903248602524,10096.0,10096.0,10096.0,0.7034689401669934,0.7006897671401305,0.706491201957625,0.2542303852096204,0.2531317273482699,0.2549832263646319,0.4477119655924902,0.446791865484879,0.4503860053443608
8,500,40,ppo_sampled,5,14.48907130002044,14.429185239016078,14.585120341042057,4.865792331052944,4.85898961185012,4.888373443391174,9.60824187786784,9.555337270488964,9.680634624441154,0.0150611662538722,0.0150370910996571,0.0151387099176645,18783.0,18710.0,18786.0,0.7713928179747879,0.7712913982571157,0.7753061474112044,0.2597001395964789,0.2590529910585606,0.2602136401251556,0.5119320266758939,0.5115392577260204,0.5127035162952641
8,500,40,random,5,12.775107815978116,12.697249581920914,12.806843713042326,3.2375045369844884,3.2307854320388287,3.237540034460835,9.52269607805647,9.451807262725197,9.554603629861958,0.0147000487195327,0.0146725066006183,0.0149072009371593,18499.0,18482.0,18553.0,0.688573697837445,0.6880704114332241,0.6891900242033503,0.1748186919215542,0.1748071329963655,0.1750116241126998,0.5132698796990497,0.5116295029440527,0.5135674569457414
9,1000,5,nearest,5,13.64975535904523,13.60290235292632,13.670358092989773,5.327708590310067,5.324104821775109,5.33486942073796,8.310509316739626,8.278550044400617,8.32749352348037,0.015141220530495,0.0150844044983387,0.0151559791993349,20096.0,20096.0,20096.0,0.6792274760671392,0.67689601676584,0.6802526917291886,0.2651128876547605,0.2649335600007518,0.2654692187867217,0.4135404715734289,0.4119501415406358,0.4143856251731872
9,1000,5,ppo_sampled,5,22.329478881903924,22.18849690502975,22.3569629980484,7.403985111275688,7.403279965859838,7.461285908822901,14.869529499788769,14.758562273578718,14.882839405559936,0.0261475894367322,0.0260479575954377,0.0263492969097569,33339.0,33256.0,33434.0,0.6684207122618689,0.667867406888315,0.6686494496365715,0.222909052101894,0.2226360690183933,0.2231512713489323,0.4447227106326112,0.4447161592232554,0.4456307095563073
9,1000,5,random,5,21.0814115050016,21.03491119097453,21.083028066088445,5.90491013857536,5.903996924171224,5.908792801084928,15.150759515818208,15.104676559683869,15.151734364684671,0.0268404084490612,0.0263835628284141,0.0271928498987108,33489.0,33485.0,33519.0,0.6288700714065744,0.6281140431477359,0.628987382263446,0.1762966025910365,0.1761660592074751,0.1768090194184375,0.4510339681592125,0.4509891962055211,0.4520342004440666
10,1000,10,nearest,5,14.352029610075988,14.29107209504582,14.399394753971135,5.675620106630959,5.674921023193747,5.681120902532712,8.655624445178546,8.633347022812814,8.69531624764204,0.0153266674606129,0.0153095538262277,0.0154233506182208,20096.0,20096.0,20096.0,0.714173447953622,0.711140132118124,0.7165303918178313,0.2824253635863335,0.2823905763930009,0.2826990894970497,0.4307137960379452,0.4296052459600325,0.4326889056350537
10,1000,10,ppo_sampled,5,23.80349732399918,23.77073270501569,23.92321104207076,7.919299369095825,7.909096421906725,7.937760127242655,15.838963795336896,15.83458540448919,15.976753962924704,0.0268561607226729,0.0268269346561282,0.0270508786197751,33978.0,33905.0,34068.0,0.7020645133165958,0.6995918743014801,0.7021575839297574,0.2327710995911096,0.2324351903112859,0.2341176855107699,0.4671571684216751,0.466024645490882,0.4689253019554666
10,1000,10,random,5,22.2728534960188,22.210118689923547,22.28217601403594,6.174583138083108,6.160474215168506,6.186177617171779,16.058707072166726,16.022573063964956,16.080681376508437,0.0271344949724152,0.0270714107900857,0.0276304116705432,34081.0,34023.0,34096.0,0.6528236263341128,0.6527971869007303,0.6532394854533904,0.1810679309634219,0.1809030568991886,0.1814341159423914,0.4709850736792212,0.4709335762268158,0.4711321158006691
11,1000,20,nearest,5,15.271190403960643,15.240729165961966,15.337785100913608,5.839817554806359,5.818760197958909,5.852642672602087,9.41561572405044,9.406534633249976,9.469403094262816,0.0156809440813958,0.0154906749958172,0.0157393340487033,20096.0,20096.0,20096.0,0.7599119428722455,0.7583961567457188,0.7632257713432328,0.2905960168593928,0.2895481786404711,0.291234209424865,0.4685318334021914,0.4680799479125187,0.4712083546110079
